id,artist,title,album,year,duration_s,format,path
A5q2I4nUFrkbH9LFmwXVYI,#ХОВАНГРЕБЕНЬ,ХОВАНГРЕБЕНЬ,-ХОВАНГРЕБЕНЬ,,199,mp3,#ХОВАНГРЕБЕНЬ/-ХОВАНГРЕБЕНЬ/ХОВАНГРЕБЕНЬ.mp3
scmF9ZgbfTSXZnnUrGymaa,+100500,Melodia1,+100500,,55,mp3,+100500/+100500/Melodia1.mp3
jC7TE5O6eZzdAmLnVf8Wys,0to8,Shut Your Mouth,Shut Your Mouth,2023,115,mp3,0to8/Shut Your Mouth/63 - Shut Your Mouth.mp3
i8I5yPe7kRo3USCQSRX59s,100 poops,Школа танцев Маслаева,100 poops,,152,mp3,100%poops/100 poops/15 - Школа танцев Маслаева.mp3
c6WEvVA9vC8MeM87RrPjI6,2 Unlimited,No Limit,2 Unlimited,,223,mp3,2 Unlimited/2 Unlimited/No Limit.mp3
L1lV6IEBxGRFtSn6KfPw8i,2ouble.cup,Phonk,2ouble.cup,,100,mp3,2ouble.cup/2ouble.cup/Phonk.mp3
snKNjFfiR2BfIcqo8R9rcr,"2pac, Snoop Dogg, Dr. Dre, The Outlawz, Digital Undeground and more",California Love,"2pac, Snoop Dogg, Dr. Dre, The Outlawz, Digital Undeground and more",,242,mp3,"2pac, Snoop Dogg, Dr. Dre, The Outlawz, Digital Undeground and more/2pac, Snoop Dogg, Dr. Dre, The Outlawz, Digital Undeground and more/California Love.mp3"
wObW6ebufpvvVaz6fqHcYp,4 Non Blondes,What's Up,4 Non Blondes,,294,mp3,4 Non Blondes/4 Non Blondes/What's Up.mp3
0Whf0GhOKVNVvLNQJj1rvy,50 Cent,In Da Club,50 Cent,,193,mp3,50 Cent/50 Cent/In Da Club.mp3
gvq3LriWOcEGQX5dgtu6kX,528 hz,Release Chakra Conflict Phase 4,528 hz,,433,mp3,528 hz/528 hz/Release Chakra Conflict Phase 4.mp3
8lMQMSNYLIpMiFFJN2L9Jy,55x55,НИКОЛАЙ (feat. Николай Соболев и Николай),55x55,,122,mp3,55x55/55x55/НИКОЛАЙ (feat. Николай Соболев и Николай).mp3
QK0Fr0CFXP0duNb2vEG1To,5udo,One,One,2016,441,mp3,5udo/One/01-01 - One.mp3
Tjrse0ixF8vUrV4Q7LULRU,9lives,khaos emerald,9lives,,151,mp3,9lives/9lives/khaos emerald.mp3
LuMgtGtf7a7tJPw1KQcYda,a-ha,Take on Me,a-ha,,225,mp3,a-ha/a-ha/Take on Me.mp3
6A2itqoAqCP5YDqzXxGCzR,a-ha,Velvet,The Singles: 1984 - 2004,2004,245,mp3,a-ha/The Singles: 1984 - 2004/Velvet.mp3
sTYRNIkNso8QmfU3bDkFmA,A-Reis,Into the Void,A-Reis,,258,mp3,A-Reis/A-Reis/Into the Void.mp3
YgkeCEFyECIvhmJ7Dd0pcp,Aaron Hibell,you look lonely,Aaron Hibell,,281,mp3,Aaron Hibell/Aaron Hibell/you look lonely.mp3
T1RLEhYtwXlFHKFlpzi55l,Aaron Marshall,Akira (Ambient Prologue),Akira (Ambient Prologue),2024,132,mp3,Aaron Marshall/Akira (Ambient Prologue)/12 - Akira (Ambient Prologue).mp3
SWa6TA8y15LImrnLYdljHr,ABBA,Dancing Queen,ABBA,,230,mp3,ABBA/ABBA/Dancing Queen.mp3
McNLzLxKZPshBDy49UrbXo,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,,294,mp3,ABBA/ABBA/Gimme! Gimme! Gimme! (A Man After Midnight).mp3
OWyzh6auCJV2QaiowZkwhd,AC-DC,AC-DC - Thunderstruck,AC-DC,,293,mp3,AC-DC/AC-DC/AC-DC - Thunderstruck.mp3
hgcXWGymUVCTr08T22uUQ7,AC-DC,Back In Black (F),AC-DC,,256,mp3,AC-DC/AC-DC/Back In Black (F).mp3
mu9oihuYhJD5E3P0Pp6q3Z,AC-DC,Big Gun,AC-DC,,259,mp3,AC-DC/AC-DC/Big Gun.mp3
h7b8noQjOkvUUMbEEyBvsm,AC-DC,Hells Bells,AC-DC,,312,mp3,AC-DC/AC-DC/Hells Bells.mp3
zAwrqCrPBAv9hdd6SHo1yK,AC-DC,Highway to Hell,AC-DC,,208,mp3,AC-DC/AC-DC/Highway to Hell.mp3
